id,type,scope,recipeCode,category,displayContext,contentShortJa,contentJa,whyJa,verificationLevel,confidence,appAdoption,sourceVideoId,sourceBasis,timecodeStart,timecodeEnd,notes
P-ICE-004,POINT,recipe,ICE,急冷式アイス4:6,finish,氷を溶かして完成,落ち切ったらサーバーを揺らし、氷を溶かして全体を冷やします。,抽出液を均一に冷やし、濃度をなじませるため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:08:13,00:08:26,
T-ICE-001,TIPS,recipe,ICE,急冷式アイス4:6,preview|historyDetail,湯温で苦味を調整,湯温を高めにすると香りやビター感を出しやすく、苦味を抑えたい時は少し下げます。,湯温によって香りや苦味の出方を調整しやすいため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:04:03,00:04:31,
T-ICE-002,TIPS,recipe,ICE,急冷式アイス4:6,preview|historyDetail,1・2投目で味調整,1投目と2投目の配分を変えると、甘みと酸味の出方を調整できます。,アイスでも4:6の前半40%の考え方を応用できるため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:08:35,00:09:05,
T-ICE-003,TIPS,recipe,ICE,急冷式アイス4:6,finish|historyDetail,3分超なら少し粗く,3分を大きく超える場合は、次回は少し粗めに挽くと調整しやすくなります。,落ち切り時間を基準に、次回の挽き目を見直しやすくするため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:07:43,00:08:04,
P-HYB-BASE-001,POINT,recipe,HYB_BASE,HARIO Switch基本,timer,残り湯で層を崩す,1分半後、残り60gを注いで粉の層を崩します。,浸漬後に透過要素を加え、抽出を進めやすくするため。,primary_transcript_confirmed,high,adoptable,sBwfcNXZhgA,transcript,00:03:11,00:03:30,
T-HYB-BASE-001,TIPS,recipe,HYB_BASE,HARIO Switch基本,preview|historyDetail,浸漬＋透過で後味,浸漬に最後の透過を足すと、前味だけでなく後味の伸びも作りやすくなります。,浸漬だけでなく透過要素を加えることで、フレーバーや後味を出しやすくするため。,primary_transcript_confirmed,high,adoptable,sBwfcNXZhgA,transcript,00:06:41,00:07:03,
T-HYB-BASE-002,TIPS,recipe,HYB_BASE,HARIO Switch基本,historyDetail,閉じて待つだけでも可,忙しい時は、閉じて注いで待ち、開けて落とすだけの使い方も選べます。,Switchの浸漬式としての簡易性を活かせるため。,primary_transcript_confirmed,high,adoptable,sBwfcNXZhgA,transcript,00:05:01,00:05:14,
P-HYB-DEV-001,POINT,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,preview|timer,前半開・後半閉,前半はスイッチを開き、後半はスイッチを閉じて抽出します。,前半の透過と後半の浸漬を使い分けるため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:08:04,00:10:08,動画内呼称は中立化し、アプリでは「悪魔」等の語を使わない。
P-HYB-DEV-002,POINT,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,timer,60gを2回注ぐ,前半はスイッチを開いたまま、60gずつ2回注ぎます。,前半120gを2回に分けて透過抽出するため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:08:22,00:08:37,追加確認で「最初2回で120g」と整理。
P-HYB-DEV-003,POINT,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,timer,1:15で閉じる,1:15でスイッチを閉じ、低温側のお湯で280gまで注ぎます。,後半を浸漬式に切り替え、低温で抽出を進めるため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:13:17,00:13:29,
P-HYB-DEV-004,POINT,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,timer|finish,1:45で開ける,1:45でスイッチを開き、3分程度で落とし切ります。,浸漬後に抽出液を落とし切り、終了目安を作るため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:13:42,00:13:49,
T-HYB-DEV-001,TIPS,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,preview|historyDetail,高温透過＋低温浸漬,前半は高温の透過、後半は低温の浸漬で抽出を組み立てます。,前半で成分を引き出し、後半で温度を下げて抽出を穏やかにするため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:08:59,00:11:10,
T-HYB-DEV-002,TIPS,recipe,HYB_DEVIL,HARIO Switch低温ハイブリッド,preview|historyDetail,後半は湯温を下げる,後半の湯温を下げると、雑味を抑えながら甘みを狙いやすくなります。,高温のまま後半を抽出すると雑味が出やすいという説明に基づくため。,primary_transcript_confirmed,high,adoptable,gC8K40kZ_6E,transcript,00:10:23,00:11:10,
P-HYB-NEW-001,POINT,recipe,HYB_NEW,HARIO Switchニューハイブリッド,timer,蒸らしはスイッチ閉,蒸らしはスイッチを閉じ、粉が浸る程度のお湯で行います。,蒸らし中に湯を保持し、成分が出やすい状態を作るため。,primary_transcript_confirmed,high,adoptable,4FeUp_zNiiY,transcript,00:06:19,00:07:38,
P-HYB-NEW-002,POINT,recipe,HYB_NEW,HARIO Switchニューハイブリッド,timer,蒸らし後は開く,蒸らし後はスイッチを開き、透過式で120gまで注ぎます。,閉じた蒸らしから透過式へ切り替え、抽出を進めるため。,primary_transcript_confirmed,high,adoptable,4FeUp_zNiiY,transcript,00:07:59,00:08:43,
P-HYB-NEW-003,POINT,recipe,HYB_NEW,HARIO Switchニューハイブリッド,timer,常温水はドリッパー内へ,後半は常温水をドリッパー内に加え、液温を70〜80℃程度へ下げる目安にします。,後半のドリッパー内液温を下げ、抽出を穏やかにするため。,primary_visual_confirmed,high,adoptable,4FeUp_zNiiY,visual_and_transcript,00:06:28,00:09:24,常温水の投入位置はドリッパー内。量は動画内で明言なし。常温水は総湯量300gに含める扱い。
P-HYB-NEW-004,POINT,recipe,HYB_NEW,HARIO Switchニューハイブリッド,timer,2:10閉、2:45開,2:10でスイッチを閉じ、2:45で開けます。,後半を浸漬に切り替えたあと、決めたタイミングで落とし切るため。,primary_visual_confirmed,high,adoptable,4FeUp_zNiiY,visual_and_transcript,,,抽出タイムライン上の2:10 close / 2:45 openとして扱う。
T-HYB-NEW-001,TIPS,recipe,HYB_NEW,HARIO Switchニューハイブリッド,preview|historyDetail,低温で雑味を抑える,後半の温度を下げると、雑味を抑えながら甘みを引き出しやすくなります。,抽出後半の温度を下げることで、成分抽出を穏やかにするため。,primary_transcript_confirmed,high,adoptable,4FeUp_zNiiY,transcript,00:09:12,00:09:24,
T-HYB-NEW-002,TIPS,recipe,HYB_NEW,HARIO Switchニューハイブリッド,preview|historyDetail,水も総湯量に含める,常温水は総湯量300gに含め、液温70〜80℃を目安に調整します。,動画内で常温水の量は明言されていないため、固定量ではなく液温目安として扱う方が安全なため。,researched_summary,medium,adoptable,4FeUp_zNiiY,visual_and_transcript_summary,00:09:12,00:09:24,常温水量は未確定。Pourōでは固定値ではなく、総湯量に含める温度調整用の水として扱う。
P-NEO-001,POINT,recipe,NEO,10投式ドリップ,timer,30gずつ10回注ぐ,30gずつ、合計10回に分けて注ぎます。,細かく注湯を分け、質感やマウスフィールを狙うため。,primary_visual_confirmed,high,adoptable,k0nsShguOsU,visual_text,00:13:01,00:15:52,動画内レシピカードで10投×30gを確認。
P-NEO-002,POINT,recipe,NEO,10投式ドリップ,timer,15秒ごとに注ぐ,蒸らし後は15秒間隔を目安に注ぎます。,10投式の固定タイムラインに沿って注湯するため。,primary_transcript_confirmed,high,adoptable,k0nsShguOsU,transcript,00:13:06,00:15:52,
P-NEO-003,POINT,recipe,NEO,10投式ドリップ,timer,1:45も注ぐ,1:45の注湯も省略せず、210gまで注ぎます。,10投×30gで累計300gに到達するため。,primary_visual_confirmed,high,adoptable,k0nsShguOsU,visual_text,,,ユーザー提供スクリーンショット内の動画レシピカードで1:45 / 210gを確認。NEOスケジュール系はprimary_visual_confirmed扱い。
T-NEO-001,TIPS,recipe,NEO,10投式ドリップ,setup|preview,粗挽き＋高湯温,超粗挽きと95〜96℃程度の高めの湯温を前提にします。,極粗挽きでも成分を引き出すために、高めの湯温を組み合わせるため。,primary_transcript_confirmed,high,adoptable,k0nsShguOsU,transcript,00:03:44,00:13:13,挽き目はComandante C40 40〜45クリック、湯温は95〜96℃目安。
T-NEO-002,TIPS,recipe,NEO,10投式ドリップ,preview|historyDetail,回数で質感を狙う,注湯回数を増やすことで、質感やマウスフィールを狙います。,注湯回数を増やすほど口当たりの厚みを狙いやすいという説明に基づくため。,primary_transcript_confirmed,high,adoptable,k0nsShguOsU,transcript,00:06:44,00:06:56,
T-NEO-003,TIPS,recipe,NEO,10投式ドリップ,finish|historyDetail,3分半までかける,短時間で終えず、約3分半までかけて成分を引き出します。,極粗挽きで、時間をかけながらポジティブな成分を引き出すため。,primary_transcript_confirmed,high,adoptable,k0nsShguOsU,transcript,00:06:10,00:06:22,
T-NEO-004,TIPS,recipe,NEO,10投式ドリップ,setup|preview|historyDetail,通常より粗く始める,極粗挽き前提のため、通常のV60より粗い設定から始めます。,10投式では極粗挽きと高めの湯温を組み合わせる設計のため。,primary_transcript_confirmed,high,adoptable,k0nsShguOsU,transcript,00:03:44,00:13:13,Comandante C40 40〜45クリック / 極粗挽き目安。通常のV60より粗い設定から始める。
P-OTHER-001,POINT,recipe,OTHER,quarantine,quarantine,対象外レシピを分離,MUGEN、Aeropress、Cold Brew、French Press、ネルドリップ、2スピン、冷凍庫急冷、氷水ダイレクトは今回の本体対象外として分離します。,今回のPourō本体対象メソッドと操作体系が異なるため。,needs_review,medium,quarantine,,summary,,,将来拡張候補。現行本体には混ぜない。
